date,state,us_state_or_territory,positive,probablecases,negative,pending,totaltestresultssource,totaltestresults,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,lastupdateet,datemodified,checktimeet,death,hospitalized,hospitalizeddischarged,datechecked,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,deathconfirmed,deathprobable,totaltestencountersviral,totaltestspeopleviral,totaltestsantibody,positivetestsantibody,negativetestsantibody,totaltestspeopleantibody,positivetestspeopleantibody,negativetestspeopleantibody,totaltestspeopleantigen,positivetestspeopleantigen,totaltestsantigen,positivetestsantigen,fips,positiveincrease,negativeincrease,total,totaltestresultsincrease,posneg,dataqualitygrade,deathincrease,hospitalizedincrease,hash,commercialscore,negativeregularscore,negativescore,positivescore,score,grade
2021-02-01,MS,Mississippi,275706,101923,1327630,,posNeg,1603336,948,8777,269,,152,,222812,2021-01-31T00:00:00,2021-01-31T00:00:00Z,01/30 19:00,6056,8777,,2021-01-31T00:00:00Z,1501413,,,173783,4385,1671,,,74723,,,,,,,,648722,,28,705,33142,1603336,33847,1603336,,11,130,2e258298a5997551fcd776792339fe49ecd60f03,0,0,0,0,0,
2021-02-01,MT,Montana,94070,2260,,,totalTestsViral,956718,108,4248,20,,15,,89218,2021-02-01T01:59:00,2021-02-01T01:59:00Z,01/31 20:59,1234,4248,,2021-02-01T01:59:00Z,956718,,,91810,,,,,,,,,,,,,,,30,121,0,94070,2469,94070,,1,3,5a69df503f9d143b74db2bb08908e66ccb18dc4b,0,0,0,0,0,
2021-02-01,NC,North Carolina,761302,80856,,,totalTestsViral,8401409,2781,,636,,,,,2021-02-01T11:45:00,2021-02-01T11:45:00Z,02/01 06:45,9342,,683697,2021-02-01T11:45:00Z,8401409,,,680446,8448,894,,,,,,,,,,,524653,,37,3776,0,761302,45291,761302,,7,0,d4233913626715212f3af75753feb7abe691abcb,0,0,0,0,0,
2021-02-01,ND,North Dakota,97683,4360,296487,,totalTestEncountersViral,1346554,47,3782,8,553,,,95308,2021-02-01T01:59:00,2021-02-01T01:59:00Z,01/31 20:59,1447,3782,,2021-02-01T01:59:00Z,1431933,,,93323,,,1346554,394170,13395,1442,11953,,,,,,93194,,38,53,31,394170,555,394170,,5,2,442ea2d2032b53cef9cd2c0b134770f4efe1b87d,0,0,0,0,0,
2021-02-01,NE,Nebraska,190950,,733348,,totalTestsViral,2102977,312,5815,,,,,136972,2021-02-01T11:30:00,2021-02-01T11:30:00Z,02/01 06:30,1920,5815,,2021-02-01T11:30:00Z,2102977,220260,1880481,,,,,924780,,,,,,,,,,,31,237,629,924298,2854,924298,,0,11,7d0c6832e7c283ef8ec0bd26969fe72cf9b8399d,0,0,0,0,0,
2021-02-01,NH,New Hampshire,66058,18795,552619,,totalTestsViral,1267372,193,1036,,330,,,60337,2021-02-01T09:00:00,2021-02-01T09:00:00Z,02/01 04:00,1059,1036,,2021-02-01T09:00:00Z,1267372,,,47263,,,,599882,38048,,,36570,,,,,136456,,33,363,792,618677,5215,618677,,2,-1,c67e8bdb937b27167763d3628f98c19f6f746034,0,0,0,0,0,
2021-02-01,NJ,New Jersey,700346,73701,8867312,,posNeg,9567658,2865,60621,531,,355,,,2021-02-01T00:00:00,2021-02-01T00:00:00Z,01/31 19:00,21513,60621,68012,2021-02-01T00:00:00Z,9493957,,,626645,19384,2129,,,,,,,,,,,,,34,3517,156167,9567658,159684,9567658,,29,77,c6400af7f2a954ba9caae677ab50deb98dd8ddcb,0,0,0,0,0,
2021-02-01,NM,New Mexico,174550,,,,totalTestsViral,2354900,477,12119,,,,,104125,2021-02-01T17:49:00,2021-02-01T17:49:00Z,02/01 12:49,3295,12119,,2021-02-01T17:49:00Z,2354900,,,,,,,,,,,,,,,,,,35,486,0,174550,11445,174550,,12,44,7e1aa6e2eb9ff7bc9b8522508d854500c6c9c7f3,0,0,0,0,0,
2021-02-01,NV,Nevada,279146,,1055021,,totalTestEncountersViral,2496070,1247,,290,,184,,,2021-01-31T00:00:00,2021-01-31T00:00:00Z,01/30 19:00,4278,,,2021-01-31T00:00:00Z,,,,279146,,,2496070,1334167,,,,,,,,,,,32,838,2204,1334167,8021,1334167,,8,0,82f088fcb5d2059ad71789471da698aec4e1b5a8,0,0,0,0,0,
2021-02-01,NY,New York,1419164,,,,totalTestEncountersViral,32336789,8003,89995,1500,,987,,,2021-01-31T14:00:00,2021-01-31T14:00:00Z,01/31 09:00,35319,89995,128354,2021-01-31T14:00:00Z,,,,,,,32336789,,,,,,,,,,,,36,8508,0,1419164,175038,1419164,,141,0,dd75accb90a7e593087e42900957ed8bc23424ed,0,0,0,0,0,
